freshTime,positive_prob,confidence,negative_prob,sentiment
2020/3/1,0.972231,0.93829,0.0277695,2
2020/3/1,0.108429,0.759048,0.891571,0
2020/3/1,0.997883,0.995295,0.00211704,2
2020/3/1,0.0147614,0.967197,0.985239,0
2020/3/1,0.108411,0.759088,0.891589,0
2020/3/1,0.733673,0.408163,0.266327,2
2020/3/1,0.914313,0.809586,0.0856865,2
2020/3/1,0.996495,0.992211,0.00350488,2
2020/3/1,0.980349,0.95633,0.0196513,2
2020/3/1,0.265818,0.409293,0.734182,0
2020/3/1,0.419435,0.0679219,0.580565,0
2020/3/1,0.477673,0.553462,0.522327,1
2020/3/1,0.991496,0.981102,0.0085043,2
2020/3/1,0.981106,0.958013,0.0188943,2
2020/3/1,0.985888,0.96864,0.0141118,2
2020/3/1,0.13387,0.702512,0.86613,0
2020/3/1,0.835766,0.635036,0.164234,2
2020/3/1,0.156233,0.652816,0.843767,0
2020/3/1,0.945185,0.87819,0.0548147,2
2020/3/1,0.947158,0.882574,0.0528419,2
2020/3/1,0.994228,0.987173,0.00577223,2
2020/3/1,0.983712,0.963805,0.0162878,2
2020/3/2,0.57024,0.0449779,0.42976,2
2020/3/1,0.991761,0.98169,0.00823943,2
2020/3/1,0.117893,0.738016,0.882107,0
2020/3/1,0.848417,0.663148,0.151583,2
2020/3/1,0.975085,0.944634,0.0249146,2
2020/3/1,0.996201,0.991557,0.00379935,2
2020/3/1,0.955031,0.900068,0.0449692,2
2020/3/1,0.975165,0.944811,0.024835,2
2020/3/1,0.572112,0.049137,0.427888,2
2020/3/1,0.00209769,0.995338,0.997902,0
2020/3/1,0.817489,0.59442,0.182511,2
2020/3/1,0.664291,0.253979,0.335709,2
2020/3/1,0.979974,0.955498,0.0200258,2
2020/3/1,0.887968,0.751041,0.112032,2
2020/3/1,0.818399,0.596443,0.181601,2
2020/3/1,0.797758,0.550572,0.202242,2
2020/3/1,0.999811,0.99958,0.000188966,2
2020/3/1,0.843593,0.652429,0.156407,2
2020/3/1,0.639258,0.198351,0.360742,2
2020/3/2,0.889558,0.754574,0.110442,2
2020/3/1,0.620962,0.157692,0.379038,2
2020/3/1,0.64829,0.218422,0.35171,2
2020/3/1,0.21299,0.526688,0.78701,0
2020/3/1,0.891492,0.758871,0.108508,2
2020/3/1,0.768541,0.485646,0.231459,2
2020/3/1,0.432903,0.0379924,0.567097,0
2020/3/1,0.808432,0.574294,0.191568,2
2020/3/1,0.926599,0.836886,0.0734014,2
2020/3/1,0.989282,0.976181,0.0107185,2
2020/3/1,0.999736,0.999414,0.000263709,2
2020/3/1,0.523585,0.528301,0.476415,1
2020/3/1,0.481793,0.63587,0.518206,1
2020/3/1,0.844158,0.653683,0.155842,2
2020/3/1,0.990922,0.979827,0.00907799,2
2020/3/1,0.830849,0.624108,0.169151,2
2020/3/1,0.99974,0.999422,0.000259975,2
2020/3/1,0.986617,0.970259,0.0133834,2
2020/3/1,0.794774,0.543942,0.205226,2
2020/3/1,0.0518445,0.88479,0.948155,0
2020/3/1,0.160401,0.643554,0.839599,0
2020/3/2,0.744076,0.43128,0.255924,2
2020/3/1,0.0223188,0.950403,0.977681,0
2020/3/1,0.880729,0.734952,0.119271,2
2020/3/1,0.956318,0.90293,0.0436817,2
2020/3/1,0.98877,0.975044,0.0112301,2
2020/3/1,0.6081,0.129112,0.3919,2
2020/3/1,0.991802,0.981781,0.0081984,2
2020/3/1,0.826616,0.614702,0.173384,2
2020/3/1,0.7141,0.364666,0.2859,2
2020/3/1,0.974701,0.943779,0.0252994,2
2020/3/1,0.101719,0.773958,0.898281,0
2020/3/6,0.601663,0.114808,0.398337,2
2020/3/2,0.757486,0.461079,0.242514,2
2020/3/2,0.260598,0.420893,0.739402,0
2020/3/2,0.0190919,0.957574,0.980908,0
2020/3/2,0.586174,0.0803861,0.413826,2
2020/3/2,0.999127,0.99806,0.000872776,2
2020/3/2,0.948643,0.885873,0.051357,2
2020/3/2,0.596925,0.104277,0.403075,2
2020/3/2,0.415803,0.0759929,0.584197,0
2020/3/2,0.96513,0.922512,0.0348697,2
2020/3/2,0.808795,0.5751,0.191205,2
2020/3/2,0.990283,0.978407,0.00971667,2
2020/3/2,0.60903,0.131177,0.39097,2
2020/3/2,0.566045,0.0356546,0.433955,2
2020/3/2,0.599278,0.109506,0.400722,2
2020/3/2,0.0293413,0.934797,0.970659,0
2020/3/2,0.873241,0.718314,0.126759,2
2020/3/2,0.585052,0.0778943,0.414948,2
2020/3/2,0.897347,0.771883,0.102653,2
2020/3/2,0.0290727,0.935394,0.970927,0
2020/3/2,0.944929,0.87762,0.0550711,2
2020/3/2,0.837015,0.637812,0.162985,2
2020/3/9,0.255102,0.433107,0.744898,0
2020/3/2,0.925009,0.833354,0.0749909,2
2020/3/2,0.00106843,0.997626,0.998932,0
2020/3/2,0.962253,0.916117,0.0377472,2
2020/3/2,0.450684,0.0136799,0.549316,1
2020/3/2,0.0853173,0.810406,0.914683,0
2020/3/2,0.0174173,0.961295,0.982583,0
2020/3/2,0.000569483,0.998734,0.99943,0
2020/3/2,0.489293,0.785866,0.510707,1
2020/3/2,0.945192,0.878205,0.0548079,2
2020/3/2,0.514793,0.704149,0.485207,1
2020/3/2,0.988656,0.974791,0.0113439,2
2020/3/2,0.391315,0.130411,0.608685,0
2020/3/2,0.991824,0.981832,0.00817564,2
2020/3/2,0.928934,0.842075,0.0710662,2
2020/3/2,0.720654,0.37923,0.279346,2
2020/3/2,0.100158,0.777427,0.899842,0
2020/3/4,0.111948,0.751226,0.888052,0
2020/3/2,0.878394,0.729765,0.121606,2
2020/3/2,0.957849,0.906331,0.0421509,2
2020/3/2,0.947635,0.883633,0.0523652,2
2020/3/2,0.0905155,0.798855,0.909485,0
2020/3/2,0.887703,0.750452,0.112297,2
2020/3/2,0.191749,0.573892,0.808251,0
2020/3/2,0.876743,0.726096,0.123257,2
2020/3/2,0.157102,0.650884,0.842898,0
2020/3/2,0.799821,0.555157,0.200179,2
2020/3/2,0.992207,0.982683,0.00779256,2
2020/3/2,0.791226,0.536059,0.208774,2
2020/3/2,0.921049,0.824554,0.0789508,2
2020/3/2,0.805759,0.568353,0.194241,2
2020/3/2,0.947498,0.88333,0.0525016,2
2020/3/2,0.909192,0.798204,0.0908084,2
2020/3/2,0.451584,0.0316793,0.548416,1
2020/3/2,0.89365,0.763667,0.10635,2
2020/3/2,0.907624,0.79472,0.0923761,2
2020/3/2,0.963393,0.91865,0.0366073,2
2020/3/2,0.999834,0.999632,0.000165502,2
2020/3/2,0.163721,0.636176,0.836279,0
2020/3/2,0.244553,0.456549,0.755447,0
2020/3/2,0.332419,0.261291,0.667581,0
2020/3/2,0.894057,0.764572,0.105943,2
2020/3/2,0.680046,0.288991,0.319954,2
2020/3/2,0.0205433,0.954348,0.979457,0
2020/3/2,0.997585,0.994634,0.00241467,2
2020/3/2,0.9966,0.992445,0.00339985,2
2020/3/2,0.704885,0.344189,0.295115,2
2020/3/2,0.862665,0.694812,0.137335,2
2020/3/2,0.777888,0.506418,0.222112,2
2020/3/2,0.994845,0.988544,0.00515508,2
2020/3/2,0.427575,0.0498327,0.572425,0
2020/3/2,0.131074,0.708723,0.868926,0
2020/3/2,0.973071,0.940157,0.0269292,2
2020/3/2,0.00131213,0.997084,0.998688,0
2020/3/2,0.786958,0.526574,0.213042,2
2020/3/2,0.217722,0.516173,0.782278,0
2020/3/2,0.735204,0.411565,0.264796,2
2020/3/2,0.639677,0.199283,0.360323,2
2020/3/2,0.270476,0.398942,0.729524,0
2020/3/2,0.99558,0.990178,0.00441965,2
2020/3/2,0.551431,0.00317918,0.448569,2
2020/3/2,0.996845,0.99299,0.00315461,2
2020/3/2,0.995496,0.989991,0.00450425,2
2020/3/2,0.968799,0.930665,0.0312008,2
2020/3/2,0.996759,0.992799,0.00324062,2
2020/3/2,0.654597,0.232438,0.345403,2
2020/3/2,0.274661,0.389642,0.725339,0
2020/3/2,0.622743,0.16165,0.377257,2
2020/3/2,0.444571,0.0120649,0.555429,0
2020/3/2,0.457727,0.154541,0.542273,1
2020/3/2,0.982395,0.960877,0.0176054,2
2020/3/2,0.999257,0.998349,0.000743007,2
2020/3/2,0.873449,0.718776,0.126551,2
2020/3/2,0.317985,0.293367,0.682015,0
2020/3/2,0.455989,0.119771,0.544011,1
2020/3/2,0.922559,0.827908,0.0774414,2
2020/3/2,0.753889,0.453088,0.246111,2
2020/3/2,0.85887,0.686378,0.14113,2
2020/3/2,0.221132,0.508595,0.778868,0
2020/3/2,0.40111,0.108644,0.59889,0
2020/3/2,0.75753,0.461177,0.24247,2
2020/3/2,0.070887,0.842473,0.929113,0
2020/3/2,0.381128,0.153049,0.618872,0
2020/3/2,0.600185,0.111523,0.399815,2
2020/3/2,0.638579,0.196843,0.361421,2
2020/3/3,0.766123,0.480274,0.233877,2
